,Channel,Compound,Date,Negative,Neutral,Positive,Text,Tweet Ago
0,@BBC,0.0,Sat Mar 17 15:03:12 +0000 2018,0.0,1.0,0.0,"This year, over 250 landmarks across the globe are going green for #StPatricksDay! 🍀 https://t.co/TlWqU0TXQT https://t.co/i4sW4OaGrQ",1
1,@BBC,0.0,Sat Mar 17 14:43:43 +0000 2018,0.0,1.0,0.0,"RT @BBCRadio3: ""Even if we found a complete theory of the universe, it wouldn't remove the need for music"" - #StephenHawking
https://t.co/t…",2
2,@BBC,0.8625,Sat Mar 17 14:00:30 +0000 2018,0.0,0.699,0.301,⛷❤️ George has autism and other health conditions - but his love of skiing is helping him take on the outside world. https://t.co/kfCzRzkcNY,3
3,@BBC,0.3628,Sat Mar 17 13:46:15 +0000 2018,0.073,0.784,0.143,"RT @5liveSport: 'My mates didn't know I was playing @realmadrid'

@ManUtd's @carras16 tells @ColinMurray his friends keep him grounded…

'A…",4
4,@BBC,0.4019,Sat Mar 17 13:00:08 +0000 2018,0.0,0.881,0.119,"Yes, Gary Oldman and @BBCEastEnders' Big Mo are brother and sister. 

But do you know these other celeb family ties… https://t.co/dtzMwD3nBB",5
5,@BBC,-0.7244,Sat Mar 17 12:39:41 +0000 2018,0.336,0.664,0.0,"RT @BBCOne: .@NiallOfficial won't let fame get to his head - Ireland won't allow it. 

Happy #StPatricksDay 🍀 https://t.co/OrWR94HStF",6
6,@BBC,0.5106,Sat Mar 17 12:00:09 +0000 2018,0.112,0.643,0.245,♻️🗑 This shop encourages you to bring your own container from home to save on single-use plastic waste. https://t.co/TdHJSycKtO,7
7,@BBC,0.8883,Sat Mar 17 11:30:09 +0000 2018,0.0,0.488,0.512,🇮🇪 🍀 Celebrate #StPatricksDay in true Irish style with these delicious recipes! 👉https://t.co/2MCMlz6K0B https://t.co/k18P3Syx2N,8
8,@BBC,0.6249,Sat Mar 17 11:03:05 +0000 2018,0.0,0.796,0.204,From scrambled eggs to chilli-spiced crisps: here are six great ways to cook with kale. 😋👉https://t.co/lqKD1h83Iv https://t.co/yWESBJm62q,9
9,@BBC,0.6996,Sat Mar 17 10:14:25 +0000 2018,0.066,0.658,0.276,RT @BBCTwo: Happy #StPatricksDay! Check out what's lurking beneath the calm waters of Ireland's west coast... 🇮🇪🦈 https://t.co/6MQgyLTlIr,10
10,@BBC,0.0,Sat Mar 17 10:00:02 +0000 2018,0.0,1.0,0.0,"🎶🐦 Did you know that bullfinches can learn to sing a tune by mimicking humans?

🔊 Sound on for this one!  https://t.co/44OFulioZp",11
11,@BBC,-0.7717,Sat Mar 17 09:39:19 +0000 2018,0.251,0.749,0.0,"RT @BBCEngland: Stephen Hawking's PhD thesis has been viewed 250,000 times online since news of his death broke on Wednesday, the Universit…",12
12,@BBC,0.6369,Sat Mar 17 09:00:06 +0000 2018,0.0,0.714,0.286,"Ready to get active?
🏃 Here are 5 ways you can get involved in #SportRelief2018. 
👉 https://t.co/wmKUWBDBjp https://t.co/xr7g5Hw4PK",13
13,@BBC,0.7783,Fri Mar 16 19:38:34 +0000 2018,0.0,0.726,0.274,"RT @BBCR1: This guy just raised over a million pounds for @sportrelief 🙌🏻

Congratulations on completing a truly mammoth task @gregjames, w…",14
14,@BBC,0.4926,Fri Mar 16 18:31:01 +0000 2018,0.0,0.61,0.39,💪😲⚽️ Keepy-uppy the good work! https://t.co/lFtKEBxjNJ,15
15,@BBC,0.5719,Fri Mar 16 17:00:25 +0000 2018,0.0,0.791,0.209,❤️🎧 Bradley has never let Asperger's hold him back from doing what he loves. https://t.co/5JFvIXeDSZ,16
16,@BBC,0.0,Fri Mar 16 16:30:01 +0000 2018,0.0,1.0,0.0,"Running for the door on a Friday afternoon like...
#FridayFeeling https://t.co/optoQcK1TV",17
17,@BBC,0.0,Fri Mar 16 16:00:00 +0000 2018,0.0,1.0,0.0,🔊🎵Jarvis Cocker describes the dream-like experience of visiting La Monte Young's Dreamhouse.… https://t.co/O9u7sPRL5m,18
18,@BBC,0.0,Fri Mar 16 14:25:15 +0000 2018,0.0,1.0,0.0,"RT @BBCR1: The gruelling task of climbing Ben Nevis in underway for @gregjames after cycling 180 miles in a day and a half!

Don't know abo…",19
19,@BBC,0.34,Fri Mar 16 14:00:13 +0000 2018,0.0,0.841,0.159,Prepare to get that warm fuzzy feeling - the man who photobombed his wife 11 years before he met her:… https://t.co/iZBJ8dEKhz,20
20,@BBC,0.6124,Fri Mar 16 12:59:01 +0000 2018,0.0,0.667,0.333,🤔🎨 Why are soap bubbles such gorgeous colours? https://t.co/ppaXTcvWRZ,21
21,@BBC,0.3612,Fri Mar 16 12:38:40 +0000 2018,0.0,0.902,0.098,"RT @BBCNewsPR: Get ready to make the headlines. 

Try out our new BBC iReporter game, putting you in the heart of the newsroom #BBCSchoolRe…",22
22,@BBC,-0.6486,Fri Mar 16 12:00:04 +0000 2018,0.238,0.762,0.0,"😂 Fights, funerals, and giant furry heads... @BBCThree lifts the lid on the lives of English football's mascots
👉… https://t.co/gEYxoetlah",23
23,@BBC,0.5574,Fri Mar 16 10:45:24 +0000 2018,0.0,0.841,0.159,"RT @BBCRadio2: It's with a heavy heart that today we announce, after 18 fantastic years, @realLynnBowles is leaving Radio 2. 😢

@realkenbru…",24
24,@BBC,0.0,Fri Mar 16 10:02:00 +0000 2018,0.0,1.0,0.0,Are you getting enough sleep? This simple test will tell you... 🥄😴#WorldSleepDay https://t.co/SP28dsdLSf,25
25,@BBC,0.4939,Fri Mar 16 09:35:56 +0000 2018,0.0,0.814,0.186,"RT @bbcthree: the dancing in taylor swift's new video seems pretty familiar 

CC @ChrisLilley https://t.co/MfA9usnqSb",26
26,@BBC,0.6486,Fri Mar 16 09:35:50 +0000 2018,0.0,0.813,0.187,"RT @BBCEngland: Oscar-winning British short film The Silent Child is to be shown on BBC One on Good Friday, giving UK viewers the first cha…",27
27,@BBC,0.0,Fri Mar 16 09:35:47 +0000 2018,0.0,1.0,0.0,RT @BBCScotlandNews: Meet Chloe - the five-year-old girl changing perceptions of Down's syndrome https://t.co/UNylRgDoY0 https://t.co/4ZjpI…,28
28,@BBC,0.4939,Fri Mar 16 09:35:43 +0000 2018,0.0,0.802,0.198,"RT @BBCWales: 🌼 Daffodils dance in the spring sunshine above Tenby harbour

📷 #Photooftheday » https://t.co/kNBVDzoYrZ https://t.co/OEQQWR7…",29
29,@BBC,0.4404,Fri Mar 16 09:00:03 +0000 2018,0.0,0.847,0.153,"💪 After having his leg amputated, @MarkSmithBB is now training to become the world's strongest disabled man. https://t.co/BXlGp09hya",30
30,@BBC,0.6115,Fri Mar 16 08:30:05 +0000 2018,0.0,0.84,0.16,"🌸🌻🌺
Take a look at some of the strangest, scariest and most wonderful plants on the planet, and find out what makes… https://t.co/AMFIAuRcxW",31
31,@BBC,-0.4019,Fri Mar 16 08:00:08 +0000 2018,0.172,0.828,0.0,😬🛰🌏 Brace yourselves... a Chinese space station could be about to crash into earth. https://t.co/cPFxyUhRsq,32
32,@BBC,0.3327,Thu Mar 15 21:58:00 +0000 2018,0.0,0.809,0.191,Why were Ansel Adams photographs of America so important? #Civilisations https://t.co/8krOMxDz9C,33
33,@BBC,0.5574,Thu Mar 15 21:04:00 +0000 2018,0.108,0.613,0.278,"At a time in China when artists were persecuted, this painter secretly created beautiful landscapes. #Civilisations https://t.co/ApGgOkXX2w",34
34,@BBC,-0.3818,Thu Mar 15 19:30:04 +0000 2018,0.174,0.737,0.089,70% of children growing up in poverty in Scotland have a parent who is in work. https://t.co/NPY8FbCaf4,35
35,@BBC,-0.296,Thu Mar 15 18:30:06 +0000 2018,0.095,0.905,0.0,"No time in the mornings? 
🍯🍎 Pop these in the fridge the night before to feed the family breakfast almost instantly… https://t.co/FtuewpoBva",36
36,@BBC,0.34,Thu Mar 15 17:30:05 +0000 2018,0.0,0.882,0.118,🎨🖼️ Meet the amazing 84-year-old who’s never had an art lesson but painted a life-size replica of a Canaletto maste… https://t.co/X39YxKuxKe,37
37,@BBC,0.5214,Thu Mar 15 13:52:24 +0000 2018,0.0,0.806,0.194,RT @BBCR1: .@CHVRCHES covering @The1975's 'Somebody Else' in the Live Lounge is so stunning 🌹 https://t.co/djNHaPKlLi,38
38,@BBC,0.1901,Thu Mar 15 13:00:05 +0000 2018,0.0,0.821,0.179,"Tiny cookery. It's like regular cookery, but smaller. https://t.co/9Q0R2CiUVi",39
39,@BBC,0.0,Thu Mar 15 12:00:16 +0000 2018,0.0,1.0,0.0,"🚢🎞 Stars of the silver screen all at sea. 
📸👉 https://t.co/YJ7PzhblOE https://t.co/PnHxJNmeok",40
40,@BBC,-0.4767,Thu Mar 15 10:45:00 +0000 2018,0.134,0.866,0.0,"BBC Economics Editor @bbckamal travels back to his old school to talk about real news, and it’s opposite, fake news… https://t.co/CAKG8AbVn8",41
41,@BBC,-0.1779,Thu Mar 15 10:26:48 +0000 2018,0.132,0.766,0.102,RT @BBCr4today: Can you spot fake news? #BBCSchoolReport and John Humphrys are here to help... Play the game 👉 https://t.co/ulq1aviwP9 #r4t…,42
42,@BBC,0.0,Thu Mar 15 09:53:48 +0000 2018,0.0,1.0,0.0,"RT @BBCR1: The bike is back.
The lycra is BACK.

@GregJames' #Gregathlon for @SportRelief is back on the road to Ben Nevis! Today's challen…",43
